Thursday|9:00:00|16:00:00|Thursday UROP Tours Sign-Up|Student Center, Mezzanine Lounge|See first-hand the accessible and cutting edge research opportunities available to MIT undergraduates! A complete list of tour descriptions for Thursday's UROP tours will be available. Tour sign-up required to participate. Limit one tour per student, first-come, first-served. For general information about the UROP program, come to the UROP discussion panel, Friday, April 12th at 1pm in Room 26-100.|featured|academic||
Thursday|9:00:00|17:00:00|Student Financial Services Open House|11-120|For general questions regarding our financial aid program, loans, student employment, and/or billing, please visit the Student Services Center in 11-120. Staff will also be available to answer individual questions about your financial aid application or award.|parents|featured||
Thursday|9:00:00|17:00:00|Classes|Various Locations|Today, around 130 MIT classes will open their doors to prefrosh attending CPW. Pick up the list sorted by date, time and subject at CPW Check-in. Before sitting in on a class that is not on the list, you must receive permission from the department in advance, some classes will be holding exams or do not have space to accommodate visitors.|featured|academic|class|
Thursday|9:00:00|17:00:00|The Chocolate City Jukebox|Student Center, Steps|Chocolate City will be personally welcoming you to MIT by bumping the hottest tunes across Kresge all day long! Feel free to stop by, hang out, make a song request and get to know the Brothers. Just follow the music!|minority|||
Thursday|9:00:00|23:59:00|CPW Check-in and Help Desk|Student Center, La Sala de Puerto Rico|The center for all things CPW.|featured|parents||
Thursday|9:00:00|11:00:00|ZBT Breakfast of Champions|Zeta Beta Tau (58 Manchester Rd)|Kick your day off right with a custom breakfast made to order by our chef Karen. Eggs, pancakes, french toast, bacon strips, sausages and much more. Don't forget to try the ZBT Classic, a McZBT. Call Rick for Rides (617-232-3257). Remember to drop by daily for this event!|livinggroup|||
Thursday|10:00:00|11:00:00|Campus Tour|Student Center, 2nd floor|Departing on the hour and the half hour from Wiesner Student Art Gallery.|featured|tour|parents|
Thursday|10:30:00|11:30:00|Campus Tour|Student Center, 2nd floor|Departing on the hour and the half hour from Wiesner Student Art Gallery.|featured|tour|parents|
Thursday|11:00:00|12:00:00|Campus Tour|Student Center, 2nd floor|Departing on the hour and the half hour from Wiesner Student Art Gallery.|featured|tour|parents|
Thursday|11:00:00|12:30:00|Tour of the Freshman Learning Communities|24-612|Interested in a more personalized and interactive approach to your first year at MIT? Consider joining one of MIT's freshman learning communities. Find out more by taking a tour of all four programs (Concourse, Experimental Study Group, Media Arts and Sciences, and Terrascope). Take the opportunity to ask questions of staff and students involved in the programs. Please sign up for this tour in Mezzanine Lounge (3rd Floor, Student Center). Space is limited to 50 students.|academic|||
